date,store,category,product,sales_amount,sales_qty,cogs_amount
2023-03-01,本店,弁当,牛めし弁当,151469.44,275.4,87852.27
2023-03-01,本店,弁当,プレミアム牛めし,205822.89,374.22,119377.28
2023-03-01,本店,惣菜,サラダセット,98193.07,306.85,54006.19
2023-03-01,本店,惣菜,豚汁セット,88978.0,278.06,48937.9
2023-03-01,本店,ドリンク,緑茶,46260.0,257.0,18504.0
2023-03-01,本店,ドリンク,ほうじ茶,47949.79,266.39,19179.91
2023-03-01,福岡西店,弁当,牛めし弁当,204589.22,371.98,118661.75
2023-03-01,福岡西店,弁当,プレミアム牛めし,202790.37,368.71,117618.41
2023-03-01,福岡西店,惣菜,サラダセット,99722.02,311.63,54847.11
2023-03-01,福岡西店,惣菜,豚汁セット,116081.58,362.75,63844.87
2023-03-01,福岡西店,ドリンク,緑茶,53721.83,298.45,21488.73
2023-03-01,福岡西店,ドリンク,ほうじ茶,50835.0,282.42,20334.0
2023-03-01,唐津店,弁当,牛めし弁当,221181.91,402.15,128285.51
2023-03-01,唐津店,弁当,プレミアム牛めし,263386.99,478.89,152764.45
2023-03-01,唐津店,惣菜,サラダセット,114148.09,356.71,62781.45
2023-03-01,唐津店,惣菜,豚汁セット,114907.55,359.09,63199.15
2023-03-01,唐津店,ドリンク,緑茶,55070.98,305.95,22028.39
2023-03-01,唐津店,ドリンク,ほうじ茶,64433.45,357.96,25773.38
2023-03-02,本店,弁当,牛めし弁当,172987.18,314.52,100332.56
2023-03-02,本店,弁当,プレミアム牛めし,155852.43,283.37,90394.41
2023-03-02,本店,惣菜,サラダセット,100749.74,314.84,55412.36
2023-03-02,本店,惣菜,豚汁セット,113659.39,355.19,62512.66
2023-03-02,本店,ドリンク,緑茶,53457.57,296.99,21383.03
2023-03-02,本店,ドリンク,ほうじ茶,46648.65,259.16,18659.46
2023-03-02,福岡西店,弁当,牛めし弁当,191706.14,348.56,111189.56
2023-03-02,福岡西店,弁当,プレミアム牛めし,197887.82,359.8,114774.93
2023-03-02,福岡西店,惣菜,サラダセット,113373.75,354.29,62355.56
2023-03-02,福岡西店,惣菜,豚汁セット,101372.42,316.79,55754.83
2023-03-02,福岡西店,ドリンク,緑茶,55968.0,310.93,22387.2
2023-03-02,福岡西店,ドリンク,ほうじ茶,48977.33,272.1,19590.93
